Round,Dead,AvgEnergy,MinEnergy,MaxEnergy,CHs,Fairness
0,0,1.95507,1.73184,1.9976,5,1.94936
1,0,1.90978,1.72816,1.99056,5,1.94936
2,0,1.86801,1.72368,1.98448,5,2.32379
3,0,1.83123,1.70704,1.96856,4,2.12132
4,0,1.77762,1.56656,1.93312,6,2.92499
5,0,1.74376,1.50704,1.82376,4,4.41588
6,0,1.70874,1.42192,1.79368,3,4.30762
7,0,1.66713,1.3736,1.7568,6,2.62467
8,0,1.62329,1.35112,1.73336,6,2.21108
9,0,1.57926,1.2916,1.696,5,2.32379
10,0,1.53234,1.27048,1.6672,6,1.97203
11,0,1.48924,1.24376,1.6384,6,2.35702
12,0,1.4375,1.22936,1.6096,7,1.84612
13,0,1.4024,1.21976,1.5808,4,2.54951
14,0,1.36,1.19768,1.552,6,2.28522
15,0,1.30136,1.14536,1.5232,8,1.80278
16,0,1.24795,1.02248,1.4912,6,1.49071
17,0,1.21024,0.98568,1.4592,4,2.44949
18,0,1.16306,0.79056,1.4304,5,2.23607
19,0,1.12258,0.76944,1.4016,6,2.92499
20,0,1.0743,0.74696,1.3728,6,1.88562
21,0,1.03695,0.72536,1.3408,4,2.44949
22,0,1.00144,0.67992,1.312,4,2.73861
23,0,0.949088,0.35816,1.2832,6,1.97203
24,0,0.910428,0.33032,1.2544,5,3
25,0,0.876664,0.27872,1.2256,4,3.67423
26,0,0.830888,0.2192,1.1968,6,2.21108
27,0,0.786524,0.19808,1.168,6,2.28522
28,0,0.742312,0.1756,1.136,6,2.0548
29,0,0.70938,0.124,1.1072,4,3.67423
30,0,0.6703,0.09728,1.0784,5,2.48998
31,0,0.62456,0.08288,1.0496,6,2.35702
32,0,0.582372,0.05504,1.0176,5,1.48324
33,0,0.545816,0.03392,0.9888,5,2.79285
34,0,0.500888,0.01144,0.96,6,2.56038
35,0,0.460208,0.00184,0.9312,5,2.64575
36,1,0.423764,-0.0628,0.8992,3,3.4641
37,1,0.3955,0,0.8704,4,3.4187
38,1,0.355796,0,0.8416,6,2.19216
39,1,0.295804,0,0.8128,8,1.57619
40,1,0.26552,0,0.784,4,3.49106
41,1,0.228932,0,0.7552,5,2.67582
42,2,0.175868,-0.08976,0.7264,7,1.34012
43,3,0.148344,-0.02048,0.6944,4,2.61008
44,4,0.113672,-0.06464,0.6656,5,2.38328
45,7,0.072024,-0.18984,0.6368,6,1.34371
46,9,0.058744,-0.11624,0.608,4,1.98431
47,13,0.032404,-0.17096,0.576,5,1
48,15,0.024376,-0.14344,0.5472,4,0.661438
49,17,0.017212,-0.17656,0.5184,4,0.661438
50,18,0.022784,-0.04576,0.4896,2,0.707107
51,19,0.020464,-0.05152,0.4608,2,0.5
52,19,0.0216,0,0.432,1,1
53,19,0.02016,0,0.4032,1,1
54,19,0.01872,0,0.3744,1,1
55,19,0.01728,0,0.3456,1,1
56,19,0.01584,0,0.3168,1,1
57,19,0.0144,0,0.288,1,1
58,19,0.01296,0,0.2592,1,1
59,19,0.01152,0,0.2304,1,1
60,19,0.01008,0,0.2016,1,1
61,19,0.00864,0,0.1728,1,1
62,19,0.0072,0,0.144,1,1
63,19,0.00576,0,0.1152,1,1
64,19,0.00432,0,0.0864,1,1
65,19,0.00288,0,0.0576,1,1
66,19,0.00144,0,0.0288,1,1
67,19,7.63278e-18,0,1.52656e-16,1,1
68,20,-0.00144,-0.0288,0,1,0
