Round,Dead,AvgEnergy,MinEnergy,MaxEnergy,CHs,Fairness
0,0,1.86819,1.03524,2.7928,6,1.69967
1,0,1.83071,1.02652,2.7216,4,2.34521
2,0,1.79393,1.0178,2.6372,4,2.34521
3,0,1.75226,1.01076,2.537,5,2.64575
4,0,1.71662,0.98828,2.5018,3,3.03681
5,0,1.67943,0.908,2.4698,3,3.54338
6,0,1.63957,0.8948,2.425,2,4.12311
7,0,1.59707,0.85584,2.3802,3,1.97203
8,0,1.55648,0.79392,2.3386,3,2.56038
9,0,1.51663,0.72432,2.2938,2,4.12311
10,0,1.4743,0.69928,2.2618,5,1.48324
11,0,1.43851,0.68408,2.2234,3,2.13437
12,0,1.40269,0.6644,2.1882,3,2.80872
13,0,1.36705,0.63616,2.153,3,3.03681
14,0,1.32472,0.59344,2.1178,4,1.87083
15,0,1.29324,0.57824,2.0826,3,3.98609
16,0,1.25338,0.50864,2.0378,2,4.12311
17,0,1.21111,0.46592,2.0026,4,2.12132
18,0,1.17613,0.45072,1.9706,4,3.4641
19,0,1.14226,0.42248,1.9354,3,3.44803
20,0,1.10236,0.4028,1.9034,4,2.34521
21,0,1.062,0.36008,1.8714,4,3.24037
22,0,1.02678,0.34488,1.8394,4,2.73861
23,0,0.986734,0.30216,1.8074,4,3.24037
24,0,0.93119,0.25176,1.7722,4,4.30116
25,0,0.880554,0.22672,1.7402,6,1.69967
26,0,0.832526,0.20704,1.7082,5,2.32379
27,0,0.79149,0.19184,1.6762,5,2.48998
28,0,0.751006,0.14144,1.6442,4,4.74342
29,0,0.703718,0.1132,1.6122,5,1.73205
30,0,0.66897,0.098,1.5802,4,3.16228
31,0,0.62675,0.07832,1.5482,4,2.12132
32,0,0.574406,0.05008,1.5162,5,3.43511
33,1,0.532234,-0.01952,1.4746,3,4.69042
34,1,0.49385,0,1.4458,5,2.95973
35,1,0.459494,0,1.4138,4,2.58602
36,1,0.41521,0,1.3818,5,2.18174
37,1,0.374662,0,1.3434,4,2.77263
38,1,0.33613,0,1.305,3,4.88763
39,3,0.304622,-0.03364,1.273,3,6.13732
40,3,0.274874,0,1.241,4,1.78536
41,3,0.237782,0,1.2122,5,2.00998
42,3,0.192722,0,1.1834,6,1.95078
43,4,0.16021,-0.10072,1.1546,4,2.29129
44,7,0.129306,-0.06308,1.1194,2,5.02494
45,9,0.110394,-0.07352,1.081,2,2.5
46,11,0.096918,-0.01624,1.0522,4,1.56125
47,12,0.075726,-0.0906,1.0234,4,1.32288
48,14,0.064732,-0.0232,0.9946,3,1.73205
49,15,0.050368,-0.15408,0.9658,3,1.56347
50,16,0.045768,-0.07392,0.937,3,0.816497
51,18,0.034392,-0.16096,0.9082,3,0.57735
52,19,0.040948,-0.06044,0.8794,2,0.5
53,19,0.04253,0,0.8506,1,1
54,19,0.04109,0,0.8218,1,1
55,19,0.03965,0,0.793,1,1
56,19,0.03821,0,0.7642,1,1
57,19,0.03677,0,0.7354,1,1
58,19,0.03533,0,0.7066,1,1
59,19,0.03389,0,0.6778,1,1
60,19,0.03245,0,0.649,1,1
61,19,0.03101,0,0.6202,1,1
62,19,0.02957,0,0.5914,1,1
63,19,0.02813,0,0.5626,1,1
64,19,0.02669,0,0.5338,1,1
65,19,0.02525,0,0.505,1,1
66,19,0.02381,0,0.4762,1,1
67,19,0.02237,0,0.4474,1,1
68,19,0.02093,0,0.4186,1,1
69,19,0.01949,0,0.3898,1,1
70,19,0.01805,0,0.361,1,1
71,19,0.01661,0,0.3322,1,1
72,19,0.01517,0,0.3034,1,1
73,19,0.01373,0,0.2746,1,1
74,19,0.01229,0,0.2458,1,1
75,19,0.01085,0,0.217,1,1
76,19,0.00941,0,0.1882,1,1
77,19,0.00797,0,0.1594,1,1
78,19,0.00653,0,0.1306,1,1
79,19,0.00509,0,0.1018,1,1
80,19,0.00365,0,0.073,1,1
81,19,0.00221,0,0.0442,1,1
82,19,0.00077,0,0.0154,1,1
83,20,-0.00067,-0.0134,0,1,0
