Round,Dead,AvgEnergy,MinEnergy,MaxEnergy,CHs,Fairness
0,0,1.95887,1.7672,1.99712,5,2.48998
1,0,1.9152,1.7208,1.99312,6,2.68742
2,0,1.87931,1.71664,1.98864,4,2.44949
3,0,1.82918,1.71344,1.96992,6,1.49071
4,0,1.78548,1.59,1.9144,5,2.14476
5,0,1.74702,1.51112,1.90736,5,2.48998
6,0,1.7096,1.41824,1.87984,4,2.34521
7,0,1.67618,1.3936,1.85184,4,3.80789
8,0,1.63293,1.3708,1.83752,6,2.92499
9,0,1.59167,1.25192,1.83048,5,2.14476
10,0,1.55657,1.10384,1.80296,4,2.54951
11,0,1.51889,1.08144,1.76264,4,3.24037
12,0,1.47964,1.07304,1.7388,5,2.23607
13,0,1.43722,1.06888,1.7264,6,2.92499
14,0,1.38989,0.96408,1.71936,6,2.0548
15,0,1.34588,0.93216,1.71064,5,2.04939
16,0,1.31036,0.77688,1.67032,4,2.73861
17,0,1.27514,0.71624,1.65,4,2.73861
18,0,1.23743,0.7004,1.64296,5,2.72029
19,0,1.19418,0.6948,1.63424,6,2.92499
20,0,1.15373,0.64632,1.59392,4,3.80789
21,0,1.11871,0.60872,1.5664,3,4.30762
22,0,1.07603,0.5916,1.55936,6,2.92499
23,0,1.0312,0.57576,1.53184,6,1.97203
24,0,0.992116,0.45912,1.52312,5,2.32379
25,0,0.945496,0.32992,1.4956,6,2.0548
26,0,0.898748,0.32176,1.48856,6,2.28522
27,0,0.859416,0.25248,1.47984,5,2.79285
28,0,0.824628,0.08096,1.45952,4,3.4641
29,0,0.789528,0.032,1.432,4,2.54951
30,0,0.739724,0.0288,1.42496,7,1.84612
31,0,0.706016,0.00416,1.39744,4,2.91548
32,1,0.66096,-0.00424,1.38872,6,2.14087
33,2,0.605976,-0.0024,1.3612,6,1.95789
34,2,0.548936,0,1.32248,6,1.63299
35,3,0.496896,-0.01352,1.28856,5,2.0199
36,4,0.466388,-0.21816,1.26824,4,2.29129
37,4,0.446796,0,1.22792,4,2.91548
38,4,0.413772,0,1.2004,5,2.44131
39,4,0.368828,0,1.19336,7,1.4357
40,5,0.338412,-0.12704,1.15304,4,1.88746
41,5,0.309816,0,1.12552,5,1.73205
42,5,0.277464,0,1.11848,5,2.32379
43,6,0.238312,-0.08856,0.92872,6,1.90029
44,7,0.209236,-0.01672,0.89,5,2
45,7,0.169944,0,0.8564,6,1.46249
46,10,0.128704,-0.1604,0.82888,6,1.43372
47,12,0.114032,-0.13056,0.63912,5,1.66132
48,13,0.084372,-0.0756,0.5472,6,0.957427
49,14,0.060928,-0.0156,0.5184,5,0.938083
50,16,0.033136,-0.07224,0.4896,5,0.72111
51,18,0.012712,-0.21784,0.4608,4,0.5
52,19,0.015732,-0.11736,0.432,2,0.5
53,19,0.02016,0,0.4032,1,1
54,19,0.01872,0,0.3744,1,1
55,19,0.01728,0,0.3456,1,1
56,19,0.01584,0,0.3168,1,1
57,19,0.0144,0,0.288,1,1
58,19,0.01296,0,0.2592,1,1
59,19,0.01152,0,0.2304,1,1
60,19,0.01008,0,0.2016,1,1
61,19,0.00864,0,0.1728,1,1
62,19,0.0072,0,0.144,1,1
63,19,0.00576,0,0.1152,1,1
64,19,0.00432,0,0.0864,1,1
65,19,0.00288,0,0.0576,1,1
66,19,0.00144,0,0.0288,1,1
67,19,7.63278e-18,0,1.52656e-16,1,1
68,20,-0.00144,-0.0288,0,1,0
