Round,Dead,AvgEnergy,MinEnergy,MaxEnergy,CHs,Fairness
0,0,1.87397,1.03396,2.9348,4,2.12132
1,0,1.83147,0.99748,2.7844,3,1.97203
2,0,1.79009,0.99044,2.7792,4,2.12132
3,0,1.74727,0.95396,2.774,3,1.97203
4,0,1.70477,0.88448,2.6236,3,1.97203
5,0,1.66194,0.82256,2.6184,3,1.97203
6,0,1.61742,0.75296,2.4424,2,3.16228
7,0,1.57756,0.68336,2.4372,2,4.12311
8,0,1.53529,0.64064,2.2938,4,2.12132
9,0,1.49626,0.62544,2.2586,4,2.12132
10,0,1.46062,0.5972,2.2234,3,3.03681
11,0,1.41835,0.55448,2.1882,4,2.12132
12,0,1.37697,0.53928,2.153,4,2.12132
13,0,1.34088,0.49656,2.1178,3,4.60676
14,0,1.30589,0.48136,2.0858,4,3.4641
15,0,1.25751,0.45312,2.0506,5,1.94936
16,0,1.21381,0.43792,2.0186,5,2.40832
17,0,1.17925,0.42912,1.9866,4,2.44949
18,0,1.13356,0.40088,1.9546,5,2.32379
19,0,1.09297,0.33896,1.913,3,2.56038
20,0,1.0508,0.26936,1.8714,3,4.74927
21,0,1.01671,0.22664,1.8394,3,5.34374
22,0,0.97961,0.21144,1.8042,4,1.87083
23,0,0.936502,0.20264,1.7754,5,2.23607
24,0,0.888654,0.1744,1.7434,5,2.14476
25,0,0.846322,0.13168,1.7082,4,1.87083
26,0,0.804446,0.11648,1.6762,5,2.32379
27,0,0.75109,0.10768,1.6474,7,1.84612
28,0,0.70771,0.09248,1.6154,5,2.48998
29,1,0.668746,-0.02124,1.5866,5,2.33238
30,1,0.628672,0,1.5578,5,2.67582
31,2,0.58964,-0.08508,1.529,5,2.09762
32,2,0.560502,0,1.497,4,2.5
33,4,0.521522,-0.12044,1.4682,5,2.40832
34,4,0.460456,0,1.4394,8,1.41421
35,4,0.419488,0,1.4106,4,2.12132
36,5,0.37932,-0.20308,1.3818,4,2.01556
37,5,0.359818,0,1.353,3,3.10913
38,6,0.331922,-0.01288,1.3242,3,3.01846
39,7,0.307342,-0.008,1.2954,4,2.96859
40,7,0.273734,0,1.2666,5,1.68523
41,8,0.241518,-0.14176,1.2378,5,2.0199
42,9,0.204946,-0.04248,1.209,6,1.424
43,11,0.166554,-0.15712,1.177,5,0.959166
44,14,0.136374,-0.08896,1.1482,5,1.23288
45,14,0.120704,0,1.1194,4,1.11803
46,16,0.09694,-0.12536,1.0906,4,0.707107
47,17,0.091316,-0.13912,1.0618,3,0.816497
48,17,0.084336,0,1.033,3,1
49,17,0.0704,0,1.0042,3,1
50,17,0.056464,0,0.9754,3,1
51,18,0.042528,-0.11496,0.9466,3,0.666667
52,19,0.043668,-0.04444,0.9178,2,0.5
53,19,0.04445,0,0.889,1,1
54,19,0.04301,0,0.8602,1,1
55,19,0.04157,0,0.8314,1,1
56,19,0.04013,0,0.8026,1,1
57,19,0.03869,0,0.7738,1,1
58,19,0.03725,0,0.745,1,1
59,19,0.03581,0,0.7162,1,1
60,19,0.03437,0,0.6874,1,1
61,19,0.03293,0,0.6586,1,1
62,19,0.03149,0,0.6298,1,1
63,19,0.03005,0,0.601,1,1
64,19,0.02861,0,0.5722,1,1
65,19,0.02717,0,0.5434,1,1
66,19,0.02573,0,0.5146,1,1
67,19,0.02429,0,0.4858,1,1
68,19,0.02285,0,0.457,1,1
69,19,0.02141,0,0.4282,1,1
70,19,0.01997,0,0.3994,1,1
71,19,0.01853,0,0.3706,1,1
72,19,0.01709,0,0.3418,1,1
73,19,0.01565,0,0.313,1,1
74,19,0.01421,0,0.2842,1,1
75,19,0.01277,0,0.2554,1,1
76,19,0.01133,0,0.2266,1,1
77,19,0.00989,0,0.1978,1,1
78,19,0.00845,0,0.169,1,1
79,19,0.00701,0,0.1402,1,1
80,19,0.00557,0,0.1114,1,1
81,19,0.00413,0,0.0826,1,1
82,19,0.00269,0,0.0538,1,1
83,19,0.00125,0,0.025,1,1
84,20,-0.00019,-0.0038,0,1,0
