Round,Dead,AvgEnergy,MinEnergy,MaxEnergy,CHs,Fairness
0,0,1.94943,1.8288,1.9976,2,7.07107
1,0,1.88914,1.7104,1.99392,4,1.87083
2,0,1.82426,1.6304,1.96976,1,1
3,0,1.78697,1.60176,1.93888,1,1
4,0,1.75166,1.55824,1.93208,3,3.44803
5,0,1.69501,1.454,1.91792,2,4.12311
6,0,1.64842,1.40504,1.90952,2,3.16228
7,0,1.61141,1.398,1.84368,5,2.64575
8,0,1.57804,1.3644,1.70456,1,1
9,0,1.48988,1.18568,1.62992,1,1
10,0,1.44559,1.1632,1.61536,1,1
11,0,1.4037,1.13976,1.58976,1,1
12,0,1.35942,1.05696,1.56864,1,1
13,0,1.30776,0.98224,1.52008,1,1
14,0,1.24682,0.84464,1.51376,1,1
15,0,1.18892,0.71696,1.4468,1,1
16,0,1.1514,0.69664,1.43592,2,1.41421
17,0,1.09917,0.66272,1.41352,3,3.98609
18,0,1.03364,0.65568,1.40096,7,1.18666
19,0,0.9847,0.62816,1.38752,2,4.12311
20,0,0.951328,0.59456,1.26648,1,1
21,0,0.907044,0.49824,1.1808,1,1
22,0,0.873672,0.46464,1.13552,1,1
23,0,0.819696,0.3644,1.0896,1,1
24,0,0.782404,0.29208,1.0552,1,1
25,0,0.721464,0.15448,1.04592,1,1
26,0,0.68918,0.12088,0.96488,2,2.23607
27,0,0.65048,0.08216,0.9332,2,1.41421
28,1,0.585604,-0.0636,0.90816,1,0
29,1,0.517108,0,0.84256,4,4.02337
30,2,0.465752,-0.02408,0.8288,1,0
31,2,0.424892,0,0.82008,1,1
32,2,0.38056,0,0.7836,1,1
33,2,0.344068,0,0.76248,2,2.23607
34,2,0.31398,0,0.74,2,5.09902
35,4,0.279088,-0.0376,0.61552,1,1
36,6,0.240332,-0.07728,0.5748,1,1
37,8,0.215044,-0.02984,0.55112,1,1
38,8,0.19174,0,0.54536,1,1
39,8,0.161292,0,0.51176,1,1
40,8,0.142844,0,0.45144,1,1
41,8,0.123628,0,0.42152,1,1
42,12,0.095796,-0.06376,0.3788,1,3
43,12,0.086804,0,0.36056,2,3.16228
44,12,0.066236,0,0.23912,2,2.23607
45,12,0.051392,0,0.20496,1,1
46,12,0.035256,0,0.19104,1,1
47,14,0.022176,-0.00344,0.1576,1,1
48,14,0.012568,0,0.09096,1,1
49,17,-0.00542,-0.1864,0.04168,1,2
50,19,-0.006168,-0.11768,0.02432,1,1
51,20,-0.002244,-0.04488,0,1,0
