Round,Dead,AvgEnergy,MinEnergy,MaxEnergy,CHs,Fairness
0,0,1.87148,1.03524,2.8926,2,4.12311
1,0,1.80915,1.02532,2.8732,4,1.87083
2,0,1.73441,0.98884,2.8172,1,1
3,0,1.68057,0.92932,2.6188,1,1
4,0,1.63849,0.76416,2.6136,3,2.80872
5,0,1.58465,0.66192,2.4152,1,1
6,0,1.54733,0.61152,2.40528,3,5.28099
7,0,1.51396,0.5688,2.39056,1,1
8,0,1.45969,0.49344,2.37168,1,1
9,0,1.37153,0.404,2.35812,1,1
10,0,1.31733,0.34208,2.29792,1,1
11,0,1.27303,0.31384,2.26528,1,1
12,0,1.22137,0.29416,2.21528,1,1
13,0,1.17213,0.2032,2.11264,1,1
14,0,1.12249,0.1232,2.09552,1,1
15,0,1.07301,0.108,1.94832,5,2.40832
16,0,1.0317,0.0992,1.89232,2,5.09902
17,0,0.980374,0.0168,1.8824,1,1
18,1,0.926538,-0.08544,1.71496,1,0
19,1,0.891606,0,1.70112,1,1
20,1,0.847074,0,1.65128,1,1
21,2,0.79851,-0.00604,1.6116,1,0
22,2,0.769784,0,1.53712,1,1
23,4,0.707892,-0.11224,1.4648,1,1
24,4,0.682542,0,1.40696,1,1
25,5,0.640634,-0.02776,1.40112,2,4.03113
26,6,0.586694,-0.00524,1.35832,5,1.2
27,6,0.535228,0,1.31928,1,1
28,6,0.49998,0,1.29688,1,1
29,6,0.478492,0,1.1276,1,1
30,7,0.457004,-0.02216,1.11016,1,0
31,7,0.43168,0,1.10384,1,1
32,7,0.403888,0,1.09392,1,1
33,7,0.377456,0,1.0664,1,1
34,7,0.357808,0,1.05168,1,1
35,8,0.329792,-0.0156,0.87568,1,0
36,8,0.308956,0,0.85856,2,3.16228
37,9,0.278048,-0.00452,0.80888,1,0
38,9,0.25493,0,0.80144,1,1
39,10,0.23281,-0.03188,0.71688,1,0
40,10,0.205364,0,0.66768,2,1.41421
41,10,0.190324,0,0.57776,1,1
42,10,0.16994,0,0.55472,1,1
43,10,0.15168,0,0.48392,1,1
44,10,0.13342,0,0.47136,1,1
45,11,0.11838,-0.00256,0.41048,1,0
46,12,0.09838,-0.0112,0.3482,1,0
47,12,0.082052,0,0.324,1,1
48,13,0.062648,-0.07064,0.27432,1,0
49,14,0.047704,-0.09592,0.26268,1,0
50,15,0.03284,-0.01156,0.22312,1,0
51,15,0.023694,0,0.1876,1,1
52,15,0.012066,0,0.08384,1,1
53,18,-0.002538,-0.08832,0.05704,1,2
54,19,-0.00367,-0.07384,0.00044,1,0
55,20,-0.010818,-0.21636,0,1,0
