Round,Dead,AvgEnergy,MinEnergy,MaxEnergy,CHs,Fairness
0,0,1.95407,1.74808,1.9976,3,3.98609
1,0,1.8917,1.69024,1.9952,5,2.23607
2,0,1.82682,1.58888,1.97,1,1
3,0,1.78278,1.58184,1.95912,3,2.28522
4,0,1.74345,1.38888,1.95232,4,2.64575
5,0,1.70054,1.19592,1.94144,4,3.08221
6,0,1.64656,1.09568,1.91832,1,1
7,0,1.60949,1.06816,1.90488,4,3.08221
8,0,1.55776,0.96792,1.89048,2,1.41421
9,0,1.49682,0.83032,1.87608,1,1
10,0,1.45289,0.7964,1.86088,2,2.23607
11,0,1.41057,0.77608,1.69304,5,2.72029
12,0,1.35414,0.76904,1.68344,7,1.76705
13,0,1.3145,0.69984,1.67352,2,2.23607
14,0,1.24962,0.55408,1.66984,1,1
15,0,1.20127,0.54536,1.66616,5,1.34164
16,0,1.14337,0.41768,1.53,1,1
17,0,1.09908,0.32136,1.48792,1,1
18,0,1.04742,0.22728,1.46504,1,1
19,0,0.99706,0.18856,1.46088,3,6.101
20,0,0.959336,0.14824,1.41768,2,1.41421
21,0,0.926204,0.10792,1.39528,3,5.02217
22,0,0.884848,0.07432,1.15672,4,1.58114
23,1,0.830872,-0.02592,1.11944,1,0
24,1,0.79622,0,1.09008,2,1.11803
25,1,0.755688,0,1.0704,3,1.97203
26,1,0.708892,0,1.04544,1,1
27,1,0.671608,0,1.01856,3,1.37437
28,1,0.638364,0,1.01056,2,2.69258
29,1,0.604848,0,0.90424,1,1
30,1,0.553588,0,0.88952,2,2.69258
31,1,0.514764,0,0.87768,4,3.11247
32,1,0.460864,0,0.82712,1,1
33,1,0.421076,0,0.76496,1,1
34,2,0.365944,-0.05424,0.7476,2,2.54951
35,2,0.31586,0,0.72256,1,1
36,2,0.271868,0,0.71504,4,1.80278
37,4,0.232476,-0.01896,0.70824,1,1
38,4,0.198304,0,0.6948,1,1
39,4,0.168784,0,0.51464,1,1
40,7,0.130756,-0.0584,0.46432,1,2
41,7,0.115132,0,0.4488,1,1
42,8,0.091032,-0.0312,0.3656,1,0
43,9,0.06686,-0.03952,0.28464,2,1.11803
44,13,0.049784,-0.0392,0.27592,1,3
45,13,0.041296,0,0.23944,1,1
46,14,0.0287,-0.0264,0.16048,1,0
47,15,0.020924,-0.01392,0.13584,1,0
48,16,0.008928,-0.03632,0.08448,1,0
49,18,0.003992,-0.02664,0.07576,1,1
50,19,-0.001284,-0.04744,0.02176,1,0
51,20,-0.005296,-0.10592,0,1,0
