Round,Dead,AvgEnergy,MinEnergy,MaxEnergy,CHs,Fairness
0,0,1.87148,1.03524,2.8926,2,4.12311
1,0,1.83061,1.02532,2.88444,2,1.41421
2,0,1.77641,0.97636,2.8316,1,1
3,0,1.73892,0.95812,2.6844,2,6.08276
4,0,1.70197,0.82532,2.63472,3,3.98609
5,0,1.64799,0.8166,2.57512,1,1
6,0,1.59402,0.80788,2.51552,1,1
7,0,1.55297,0.75648,2.5056,3,2.80872
8,0,1.499,0.68376,2.446,1,1
9,0,1.43806,0.6664,2.35224,1,1
10,0,1.38379,0.5828,2.32184,1,1
11,0,1.34748,0.504,2.31096,3,2.13437
12,0,1.29556,0.4908,2.16072,6,2.35702
13,0,1.25127,0.44152,2.13668,1,1
14,0,1.19706,0.36112,2.08136,1,1
15,0,1.15375,0.338,2.06424,3,1.59861
16,0,1.09992,0.2784,1.88216,1,1
17,0,1.05068,0.2128,1.86064,1,1
18,0,0.996842,0.1532,1.70388,1,1
19,0,0.946478,0.14,1.69972,3,6.101
20,0,0.87173,0.10248,1.58004,1,1
21,0,0.838598,0.0576,1.56112,3,5.02217
22,0,0.800378,0.0444,1.5464,3,3.03681
23,2,0.746542,-0.05768,1.50592,1,1
24,3,0.714266,-0.00172,1.48376,2,4.03113
25,4,0.676812,-0.01596,1.30296,2,2.54951
26,4,0.632666,0,1.27104,1,1
27,4,0.583938,0,1.22656,4,2
28,4,0.550038,0,1.22136,1,1
29,5,0.517174,-0.02816,1.1256,2,4.03113
30,5,0.487622,0,1.086,1,1
31,6,0.465062,-0.02344,0.98872,1,0
32,6,0.430074,0,0.974,3,3.24893
33,6,0.388862,0,0.95688,3,2.28522
34,6,0.35771,0,0.77768,1,1
35,7,0.325262,-0.04212,0.75712,2,1.11803
36,7,0.30212,0,0.74328,2,1.80278
37,7,0.274104,0,0.73808,1,1
38,7,0.247672,0,0.6792,1,1
39,8,0.212504,-0.07384,0.66736,5,2.84253
40,8,0.1973,0,0.50448,1,1
41,8,0.178404,0,0.45108,1,1
42,8,0.143572,0,0.37748,1,1
43,9,0.11834,-0.00408,0.36164,3,1.56347
44,10,0.093816,-0.00432,0.3558,1,0
45,11,0.067188,-0.0326,0.27176,1,0
46,12,0.047222,-0.01356,0.20768,1,0
47,15,0.01728,-0.0432,0.11344,1,2
48,15,0.011434,0,0.09624,1,1
49,17,0.001666,-0.04424,0.04808,1,1
50,20,-0.005824,-0.09592,0,1,2
