Round,Dead,AvgEnergy,MinEnergy,MaxEnergy,CHs,Fairness
0,0,1.95705,1.7704,1.99632,4,3.08221
1,0,1.91293,1.73456,1.9884,4,3.08221
2,0,1.87512,1.72072,1.96536,4,3.08221
3,0,1.8345,1.69032,1.94904,4,3.08221
4,0,1.79285,1.6564,1.90584,4,3.08221
5,0,1.75405,1.626,1.874,4,3.08221
6,0,1.71893,1.5788,1.8588,4,3.08221
7,0,1.67544,1.51552,1.85,4,3.08221
8,0,1.63414,1.45056,1.84632,4,3.08221
9,0,1.59468,1.40752,1.81808,4,3.08221
10,0,1.55686,1.37864,1.7984,4,3.08221
11,0,1.50887,1.26856,1.748,4,3.08221
12,0,1.47204,1.23464,1.7328,4,3.08221
13,0,1.4295,1.20424,1.724,4,3.08221
14,0,1.3882,1.15688,1.72032,4,3.08221
15,0,1.3502,1.10624,1.69208,4,3.08221
16,0,1.31294,1.07176,1.6724,4,3.08221
17,0,1.27338,1.00368,1.6572,4,3.08221
18,0,1.23231,0.95592,1.6484,4,3.08221
19,0,1.18502,0.8468,1.598,4,3.08221
20,0,1.14421,0.84312,1.5892,4,3.08221
21,0,1.10832,0.81272,1.574,4,3.08221
22,0,1.06668,0.73432,1.57032,4,3.08221
23,0,1.02938,0.7256,1.54208,4,3.08221
24,0,0.98838,0.71856,1.5224,4,3.08221
25,0,0.94626,0.58448,1.5136,4,3.08221
26,0,0.905016,0.46912,1.4984,4,3.08221
27,0,0.866484,0.45528,1.49472,4,3.08221
28,0,0.82516,0.42488,1.44432,4,3.08221
29,0,0.785456,0.39096,1.41608,4,3.08221
30,0,0.739592,0.30792,1.40728,4,3.08221
31,0,0.704468,0.30208,1.39208,4,3.08221
32,0,0.667208,0.28496,1.3724,4,3.08221
33,0,0.626764,0.21376,1.3636,4,3.08221
34,0,0.586764,0.1808,1.35992,4,3.08221
35,0,0.5486,0.10816,1.34472,4,3.08221
36,0,0.50448,0.00312,1.31648,4,3.08221
37,1,0.46054,-0.00056,1.26608,4,3.09233
38,4,0.414792,-0.0428,1.2464,4,3.1225
39,4,0.3838,0,1.22592,3,0.942809
40,4,0.349364,0,1.06464,3,0.942809
41,4,0.316016,0,1.05808,3,0.942809
42,7,0.27738,-0.06864,0.90096,3,1.37437
43,8,0.253512,-0.11648,0.87216,3,1
44,8,0.231916,0,0.74144,2,0
45,9,0.2101,-0.0428,0.72824,2,0.5
46,10,0.19378,-0.006,0.68664,2,0.707107
47,11,0.177108,-0.01704,0.64504,2,0.5
48,11,0.1643,0,0.61592,2,0.5
49,11,0.146484,0,0.59344,2,0.5
50,11,0.132824,0,0.55504,2,0.5
51,11,0.117964,0,0.51664,2,0.5
52,11,0.104304,0,0.49752,2,0.5
53,11,0.088792,0,0.46504,2,0.5
54,12,0.073932,-0.07608,0.42664,2,0.707107
55,14,0.062228,-0.09896,0.39232,2,1
56,14,0.058536,0,0.37504,1,0
57,16,0.049252,-0.022,0.33024,1,2
58,16,0.046356,0,0.29184,1,0
59,16,0.042016,0,0.26752,1,0
60,16,0.03472,0,0.24024,1,0
61,16,0.03038,0,0.20184,1,0
62,16,0.02604,0,0.16344,1,0
63,16,0.0217,0,0.14912,1,0
64,17,0.014404,-0.01264,0.11856,1,1
65,17,0.009752,0,0.09872,1,0
66,17,0.006676,0,0.06352,1,0
67,17,0.0036,0,0.02832,1,0
68,18,0.000524,-0.00688,0.00944,1,1
69,20,-0.0036,-0.05712,0,1,2
