Round,Dead,AvgEnergy,MinEnergy,MaxEnergy,CHs,Fairness
0,0,1.87582,1.03396,2.7864,4,1.73205
1,0,1.83629,1.02692,2.7216,4,1.73205
2,0,1.794,1.01988,2.6276,4,1.73205
3,0,1.74964,0.99876,2.537,4,1.73205
4,0,1.70735,0.99172,2.505,4,1.73205
5,0,1.66357,0.9706,2.473,4,1.73205
6,0,1.62107,0.96356,2.441,4,1.73205
7,0,1.58175,0.95652,2.409,4,1.73205
8,0,1.53796,0.9354,2.377,4,1.73205
9,0,1.49561,0.92836,2.345,4,1.73205
10,0,1.44995,0.90724,2.313,4,1.73205
11,0,1.41032,0.89732,2.281,4,1.73205
12,0,1.36804,0.89028,2.249,4,1.73205
13,0,1.32015,0.88452,2.217,4,1.73205
14,0,1.28077,0.82976,2.185,4,1.73205
15,0,1.24128,0.77248,2.153,4,1.73205
16,0,1.19962,0.76672,2.121,4,1.73205
17,0,1.15583,0.68968,2.089,4,1.73205
18,0,1.11503,0.67,2.057,4,1.73205
19,0,1.0766,0.64888,2.025,4,1.73205
20,0,1.03804,0.61708,1.993,4,1.73205
21,0,0.997214,0.58576,1.961,4,1.73205
22,0,0.95949,0.52368,1.929,4,1.73205
23,0,0.922218,0.51376,1.897,4,1.73205
24,0,0.881554,0.46272,1.865,4,1.73205
25,0,0.83367,0.42748,1.833,4,1.73205
26,0,0.791354,0.29928,1.801,4,1.73205
27,0,0.751822,0.29128,1.769,4,1.73205
28,0,0.716818,0.27016,1.737,4,1.73205
29,0,0.677334,0.26056,1.705,4,1.73205
30,0,0.634866,0.22944,1.673,4,1.73205
31,0,0.598214,0.21452,1.641,4,1.73205
32,0,0.56073,0.1964,1.609,4,1.73205
33,0,0.521918,0.12752,1.577,4,1.73205
34,0,0.484194,0.03728,1.545,4,1.73205
35,0,0.445794,0.01584,1.513,4,1.73205
36,0,0.396242,0.00452,1.481,4,1.73205
37,1,0.358902,-0.00988,1.449,4,1.75
38,3,0.323384,-0.09916,1.4106,4,1.39194
39,6,0.290698,-0.02752,1.3974,3,2.13437
40,7,0.26396,-0.07708,1.3622,3,1.29099
41,8,0.240322,-0.0312,1.3238,3,0.57735
42,10,0.22017,-0.02112,1.2854,2,2.23607
43,10,0.205098,0,1.247,2,1
44,10,0.188838,0,1.2086,2,1
45,11,0.17171,-0.02496,1.1702,2,1.11803
46,11,0.159646,0,1.135,2,1.5
47,12,0.146334,-0.00572,1.0998,2,1.58114
48,12,0.13506,0,1.0678,2,2
49,13,0.1235,-0.02912,1.0358,2,2.06155
50,13,0.115192,0,1.02268,1,0
51,13,0.105428,0,1.00956,1,0
52,14,0.09512,-0.01008,0.98748,1,1
53,14,0.088036,0,0.97436,1,0
54,15,0.079264,-0.0012,0.95228,1,1
55,16,0.072024,-0.00336,0.91068,1,1
56,17,0.066156,-0.04656,0.87228,1,1
57,17,0.065408,0,0.83708,1,0
58,17,0.062332,0,0.80188,1,0
59,17,0.059256,0,0.76668,1,0
60,17,0.05618,0,0.73148,1,0
61,18,0.053104,-0.00076,0.69628,1,1
62,18,0.050882,0,0.66428,1,0
63,18,0.048622,0,0.63228,1,0
64,18,0.046362,0,0.60028,1,0
65,18,0.044102,0,0.56828,1,0
66,18,0.041842,0,0.53628,1,0
67,18,0.039582,0,0.50428,1,0
68,18,0.037322,0,0.47228,1,0
69,18,0.035062,0,0.44028,1,0
70,18,0.032802,0,0.40828,1,0
71,18,0.030542,0,0.37628,1,0
72,18,0.028282,0,0.34428,1,0
73,18,0.026022,0,0.31228,1,0
74,18,0.023762,0,0.28028,1,0
75,18,0.021502,0,0.24828,1,0
76,18,0.019242,0,0.21628,1,0
77,18,0.016982,0,0.18428,1,0
78,18,0.014722,0,0.15228,1,0
79,18,0.012462,0,0.12896,1,0
80,18,0.008182,0,0.10708,1,0
81,18,0.005922,0,0.07508,1,0
82,18,0.003662,0,0.04308,1,0
83,18,0.001402,0,0.01696,1,0
84,20,-0.002878,-0.05544,0,1,2
