Round,Dead,AvgEnergy,MinEnergy,MaxEnergy,CHs,Fairness
0,0,1.91184,1.584,1.9904,1,1
1,0,1.87098,1.55728,1.98224,2,1.41421
2,0,1.81677,1.54768,1.97872,1,1
3,0,1.74202,1.36048,1.88144,1,1
4,0,1.69515,1.33936,1.85872,2,2.23607
5,0,1.63421,1.2424,1.84128,1,1
6,0,1.60084,1.18288,1.8304,1,1
7,0,1.54686,1.05128,1.80728,1,1
8,0,1.50464,1.03688,1.77944,2,1.41421
9,0,1.42826,0.95304,1.70712,1,1
10,0,1.39729,0.90472,1.67024,2,3.16228
11,0,1.35299,0.88224,1.59824,1,1
12,0,1.30335,0.85552,1.57768,1,1
13,0,1.25411,0.80392,1.50152,1,1
14,0,1.20981,0.78144,1.47584,1,1
15,0,1.16699,0.77184,1.46328,3,1.97203
16,0,1.13362,0.71232,1.43192,1,1
17,0,1.0602,0.35712,1.40624,6,2.13437
18,0,1.02682,0.2976,1.388,1,1
19,0,0.982464,0.2832,1.37264,5,2.14476
20,0,0.945172,0.23488,1.25776,1,1
21,0,0.900888,0.14976,1.14904,1,1
22,0,0.847052,0.06816,1.10032,1,1
23,0,0.797408,0.04144,1.0936,1,1
24,1,0.745732,-0.0424,1.05488,2,2.06155
25,1,0.70484,0,1.0484,1,1
26,1,0.663212,0,1.04424,2,2.69258
27,1,0.622544,0,0.94464,1,1
28,1,0.592308,0,0.8828,1,1
29,1,0.542696,0,0.84024,2,1.80278
30,1,0.502828,0,0.79032,1,1
31,2,0.456328,-0.03992,0.75504,1,0
32,2,0.4222,0,0.7416,1,1
33,2,0.388236,0,0.73456,4,2.29129
34,3,0.34182,-0.09104,0.71144,1,0
35,3,0.318392,0,0.53816,1,1
36,4,0.272796,-0.05864,0.48752,1,0
37,4,0.238356,0,0.47168,2,1.41421
38,4,0.198184,0,0.45568,1,1
39,7,0.146764,-0.15512,0.4448,4,3.09233
40,7,0.139948,0,0.38048,1,1
41,7,0.112792,0,0.32056,1,1
42,10,0.085116,-0.03152,0.25272,1,2
43,10,0.071756,0,0.23128,1,1
44,12,0.0485,-0.00432,0.1868,1,1
45,13,0.035224,-0.02696,0.16384,1,0
46,14,0.024632,-0.01072,0.14424,1,0
47,15,0.011744,-0.00936,0.0716,1,0
48,17,0.002644,-0.02792,0.0608,1,1
49,19,-0.001652,-0.02848,0.0044,1,1
50,20,-0.006164,-0.12328,0,1,0
