Round,Dead,AvgEnergy,MinEnergy,MaxEnergy,CHs,Fairness
0,0,1.86151,0.98148,2.8594,1,1
1,0,1.82065,0.97156,2.85124,2,1.41421
2,0,1.76644,0.9226,2.6988,1,1
3,0,1.69169,0.87856,2.62688,1,1
4,0,1.64482,0.85888,2.61096,2,2.23607
5,0,1.58388,0.85648,2.52512,1,1
6,0,1.55051,0.81376,2.51256,1,1
7,0,1.49653,0.78872,2.44696,1,1
8,0,1.45431,0.71336,2.43312,2,1.41421
9,0,1.37793,0.5676,2.4244,1,1
10,0,1.34696,0.5524,2.39672,2,3.16228
11,0,1.29312,0.45016,2.38936,1,1
12,0,1.24348,0.37016,2.38352,1,1
13,0,1.19424,0.2792,2.176,1,1
14,0,1.14994,0.25096,2.12632,1,1
15,0,1.10712,0.18904,2.12112,3,1.97203
16,0,1.05328,0.0868,1.92272,1,1
17,0,0.979862,0.0444,1.91408,6,2.13437
18,0,0.94649,0.00788,1.90152,1,1
19,1,0.90213,-0.13544,1.88768,5,2.05913
20,3,0.86437,-0.08036,1.73928,1,1
21,3,0.832864,0,1.68688,1,1
22,3,0.798012,0,1.6402,1,1
23,3,0.759872,0,1.63204,1,1
24,4,0.719372,-0.00668,1.60024,2,0.707107
25,5,0.68093,-0.00752,1.57468,1,0
26,6,0.644726,-0.00344,1.54544,2,1.58114
27,7,0.615534,-0.04396,1.38472,1,0
28,7,0.589716,0,1.35872,1,1
29,7,0.570068,0,1.31128,1,1
30,7,0.54498,0,1.30608,2,3.64005
31,7,0.518548,0,1.16524,1,1
32,7,0.485156,0,1.16204,1,1
33,7,0.449956,0,1.05688,1,1
34,7,0.403092,0,0.98288,1,1
35,7,0.3753,0,0.96264,1,1
36,8,0.335936,-0.06432,0.92416,4,1.65831
37,8,0.304416,0,0.91072,2,1
38,8,0.270224,0,0.8888,2,1
39,8,0.252112,0,0.82824,1,1
40,9,0.227728,-0.01588,0.72928,1,0
41,9,0.206402,0,0.69864,1,1
42,10,0.18925,-0.00904,0.63552,1,0
43,10,0.168038,0,0.58808,1,1
44,11,0.14567,-0.05348,0.51336,1,0
45,11,0.134584,0,0.45688,1,1
46,11,0.117176,0,0.40408,1,1
47,12,0.098472,-0.00936,0.3328,1,0
48,12,0.085932,0,0.29776,1,1
49,12,0.067356,0,0.28232,1,1
50,13,0.048772,-0.01188,0.26304,1,0
51,14,0.02891,-0.0132,0.16496,1,0
52,16,0.014638,-0.02584,0.12544,1,1
53,17,0.00683,-0.01184,0.09432,1,0
54,20,-0.004114,-0.04968,0,1,2
